run_id,GLOBAL_INFO,environment_parameters._punishBetterOtherGoalAgent,environment_parameters.rewDeltaGoalContinueGoalBetterOtherAgent,environment_parameters._punishBetterOtherAgentLocal,GaveWayGlobalAnyGoal,GaveWayGlobalAnyGoal_PositiveCount,GaveWayGlobalAnyGoal_TotalCount,GaveWayGlobalSameGoal,GaveWayGlobalSameGoal_PositiveCount,GaveWayGlobalSameGoal_TotalCount,GaveWayLocalAnyGoal,GaveWayLocalAnyGoal_PositiveCount,GaveWayLocalAnyGoal_TotalCount,GaveWayLocalSameGoal,GaveWayLocalSameGoal_PositiveCount,GaveWayLocalSameGoal_TotalCount,GaveWayNonLocalAnyGoal,GaveWayNonLocalAnyGoal_PositiveCount,GaveWayNonLocalAnyGoal_TotalCount,GaveWayNonLocalSameGoal,GaveWayNonLocalSameGoal_PositiveCount,GaveWayNonLocalSameGoal_TotalCount,Num Lost Goal,Num Stop Explore,Num Stop Goal,NumLostGoal PerEps,NumStopExplore PerEps,NumStopGoal PerEps,RatioExplorePerEps,RatioGoalPerEps,RatioMoveTowardsExploringPerEps,RatioMoveTowardsPerEps,Total Crashes,Total Crashes Car,Total Crashes StartEpisode,Total Crashes StaticCar,Total Crashes Wall,Total Halted,Total Reached Goal,VelocityAvg,c,Max Steps,NearestCarDistAvg,Num Episodes,DeltaThetaAvg,Final Mean Episode Length,Final Mean Reward,h,p
g10,0,1,-0.05,0,0.0296363,9841,332059,0.175819096,9509,54084,0.063294758,9741,153899,0.936094323,9448,10093,0.015249952,2805,183935,0.002814089,124,44064,21313,183499,10510,0.137362319,1.182651345,0.067736967,0.053037481,0.946962518,0.798108305,0.986836643,507,104,0,324,77,0,154652,14.8741789,0.003267616,16000000,12.00926901,155159,0.950942168,19.62636422,0.969748239,0,0.996732384
g11,0,0,-0.05,0,0.080799049,7410,91709,0.356834094,5861,16425,0.59446056,6353,10687,0.989337042,4268,4314,0.027340199,2015,73701,0.132392972,1605,12123,12997,163000,8144,0.084038667,1.053958812,0.052659145,0.155859353,0.84414065,0.875200891,0.992094053,425,64,0,270,89,0,154228,15.03911297,0.002748052,16000000,12.0529229,154655,0.90819047,19.69541702,0.966336103,0,0.997239016
g12,0,1,-0.075,0,0.032201316,11239,349023,0.176587206,10956,62043,0.069293022,11148,160882,0.934816214,10885,11644,0.017482266,3401,194540,0.003029583,153,50502,23688,188256,11704,0.152682974,1.213419704,0.075439105,0.053553277,0.946446723,0.770392957,0.988671396,489,64,10,292,130,0,154656,14.86382482,0.00315189,16000000,12.04296554,155145,0.886881344,19.63220713,0.969453509,0,0.99684811
g13,0,0,-0.1,0,0.05969013,7370,123471,0.197532936,4708,23834,0.504754601,6582,13040,0.982035928,3608,3674,0.016396556,1554,94776,0.054985374,1109,20169,7457,94471,8206,0.088712556,1.12387875,0.09762307,0.139102124,0.860897875,0.883467064,0.994373231,198,32,0,125,39,0,83858,7.857171691,0.002355516,16000000,12.07169224,84058,0.695902348,37.08376996,0.926634836,0,0.99762069
g14,0,0,-0.025,0,0.050474116,5307,105143,0.224806886,5093,22655,0.29838905,4927,16512,0.873760874,4319,4943,0.019780834,1556,78662,0.044654939,792,17736,12680,161851,5486,0.081851338,1.04477294,0.035412968,0.146766132,0.853233868,0.895715314,0.989527332,611,80,3,435,93,0,154304,14.86853818,0.003944098,16000000,12.06040797,154915,0.944072252,19.66029562,0.964822048,0,0.996055902
g15,0,1,-0.15,0,0.023768783,9807,412600,0.116318924,9706,83443,0.052488537,9753,185812,0.935690073,9661,10325,0.013073631,2954,225951,0.002714537,199,73309,14217,109177,10134,0.167586109,1.286948629,0.119456822,0.037356137,0.962643863,0.72914587,0.994863646,321,76,1,206,37,0,84511,7.866959453,0.00378386,16000000,11.94391319,84834,0.728481214,36.73530869,0.93996328,0,0.996192564
g16,1,0,-0.15,1,0.094604171,7476,79024,0.509056839,5705,11207,0.755507723,5967,7898,0.971351351,3594,3700,0.031986184,2167,67748,0.281778251,2117,7513,12201,160002,8364,0.078701912,1.032084527,0.053951544,0.16820332,0.831796682,0.852909417,0.993797941,529,44,11,394,91,0,154499,14.9918809,0.003412287,16000000,12.02797446,155028,0.924061486,19.64519447,0.964639333,0,0.996587713
g17,1,0,-0.075,0,0.237200763,3359,14161,0.919381557,3330,3622,0.545482019,1805,3309,0.985554826,1501,1523,0.108121427,1097,10146,0.871367318,1829,2099,1518,79352,3447,0.018257701,0.954403858,0.041458692,0.31359592,0.686404084,0.944273257,0.996395123,266,104,10,115,45,0,82877,7.847517966,0.003199307,16000000,12.11243848,83143,0.756381582,37.50703248,0.907722372,0,0.996800693
g18,1,1,-0.125,0,0.028753097,7995,278057,0.874912157,7470,8538,0.036501498,5021,137556,0.947356161,4067,4293,0.016796351,2817,167715,0.801648999,3403,4245,17686,165939,8492,0.112945354,1.059710452,0.05423114,0.077045049,0.922954951,0.712704039,0.993997031,409,106,4,233,66,0,156180,15.00278198,0.002611933,16000000,11.98503454,156589,0.890136325,19.43955439,0.972543294,0,0.997388067
g19,1,1,0,0,1.47E-04,77,524896,3.65E-04,77,211114,2.57E-04,77,299351,0.000580287,77,132693,1.26E-04,32,253855,0.000162079,13,80208,31383,196934,82,0.203496327,1.276976248,0.000531711,0.007509094,0.992490906,0.853354556,0.982352361,696,108,4,401,182,0,153523,14.66621038,0.004513063,16000000,11.96291228,154219,0.947053459,19.75245438,0.970259373,0,0.995486937
g20,1,1,-0.075,1,0.023196736,10291,443640,0.099537741,10142,101891,0.053995909,10215,189181,0.874274326,10090,11541,0.013027801,3194,245168,0.002340808,212,90567,27327,114123,11542,0.373620815,1.560315008,0.157804788,0.044997382,0.955003117,0.551116385,0.968820819,306,186,2,101,16,0,72834,7.853180867,0.0041837,16000000,12.4122906,73141,0.856300017,42.7693078,0.91827934,0,0.995802628
g21,1,0,0,0,6.61E-05,35,529352,0.000155228,34,219033,1.15E-04,34,294950,0.00025613,34,132745,7.70E-06,2,259582,0.00E+00,0,88373,29993,193248,123,0.197970984,1.275547518,0.00081187,0.012592725,0.987407274,0.722248831,0.981030272,781,142,6,350,285,0,150721,14.40100064,0.005155047,16000000,12.04135536,151502,0.966160728,20.1262543,0.968069729,0,0.994844953
g22,1,0,-0.1,1,0.063712723,5651,88695,0.379185987,2944,7764,0.551888397,4866,8817,0.975512244,1952,2001,0.017358461,1342,77311,0.17213257,992,5763,17318,90311,8032,0.239354277,1.248199798,0.111011292,0.182481506,0.817521333,0.771324324,0.983126745,101,42,1,45,11,8,72242,7.836202596,0.001395934,16000000,12.55760415,72353,0.915559412,43.25082332,0.906983828,0.000110569,0.998465855
g23,1,1,0,1,1.97E-06,1,507329,4.64E-06,1,215519,3.50E-06,1,285843,7.68E-06,1,130169,4.09E-06,1,244274,0.00E+00,0,87634,27216,194533,67,0.175387947,1.253628138,0.000431768,0.030439473,0.969560526,0.720794102,0.983917415,608,38,5,439,127,0,154568,14.57661318,0.003918132,16000000,11.96416299,155176,0.943656787,19.62580835,0.973622813,0,0.996081868
g24,1,0,-0.025,1,0.064402047,6319,98118,0.390072433,5493,14082,0.383953118,5307,13822,0.954119625,3972,4163,0.025353492,2019,79634,0.154179255,1531,9930,13520,161283,6636,0.08650198,1.031900804,0.042457629,0.147457821,0.852542182,0.827204913,0.994409341,508,58,6,354,93,0,155789,15.17954692,0.003250222,16000000,12.06407421,156297,0.924697581,19.47694061,0.966637484,0,0.996749778
g25,1,0,-0.125,0,0.493008186,5782,11728,0.944202413,5635,5968,0.785248369,3130,3986,0.999592336,2452,2453,0.27772741,1838,6618,0.905601365,3185,3517,2970,145723,6135,0.019537674,0.958615654,0.040358125,0.326414127,0.673585878,0.907266616,0.997158616,407,30,0,268,106,0,151607,14.94081723,0.002677385,16000000,12.04056365,152014,1.009196717,20.05571369,0.954496272,0,0.997322615
g26,1,1,-0.2,0,0.014886483,4999,335808,0.733219125,4708,6421,0.019533261,3225,165103,0.934046961,2705,2896,0.008353752,1749,209367,0.56822695,2003,3525,11231,91838,5388,0.132412931,1.082765451,0.063524252,0.055926327,0.944073673,0.729980664,0.995885003,136,22,0,93,18,0,84681,7.883462945,0.001603433,16000000,12.06124204,84818,0.63275993,36.74630031,0.943677006,0,0.998384777
